"[1.0, 0.0, 0.0, 0.0]","[0.0009298324584960938, 0.0, 0.0, 0.0]","[0.151611328125, 0.0, 0.0, 0.0]","[0.0003879070281982422, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0009298324584960938, 0.0, 0.0, 0.0]","[0.151611328125, 0.0, 0.0, 0.0]","[0.0003879070281982422, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0009298324584960938, 0.0, 0.0, 0.0]","[0.151611328125, 0.0, 0.0, 0.0]","[0.0003879070281982422, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0001652240753173828, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0001652240753173828, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0001652240753173828, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0005588531494140625, 0.0, 0.0, 0.0]","[0.1995849609375, 0.0, 0.0, 0.0]","[0.0002275705337524414, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0005588531494140625, 0.0, 0.0, 0.0]","[0.1995849609375, 0.0, 0.0, 0.0]","[0.0002275705337524414, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0005588531494140625, 0.0, 0.0, 0.0]","[0.1995849609375, 0.0, 0.0, 0.0]","[0.0002275705337524414, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0021800994873046875, 0.0, 0.0, 0.0]","[0.20654296875, 0.0, 0.0, 0.0]","[0.0002789497375488281, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0021800994873046875, 0.0, 0.0, 0.0]","[0.20654296875, 0.0, 0.0, 0.0]","[0.0002789497375488281, 0.0, 0.0, 0.0]"
"[1.0, 0.0, 0.0, 0.0]","[0.0021800994873046875, 0.0, 0.0, 0.0]","[0.20654296875, 0.0, 0.0, 0.0]","[0.0002789497375488281, 0.0, 0.0, 0.0]"
